trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
P1_1_1151_DP_JAKK,04:05:00,04:05:00,DP,1,0,0,1
P1_1_1151_DP_JAKK,04:09:00,04:09:00,DPB,2,0,0,1
P1_1_1151_DP_JAKK,04:11:00,04:11:00,POC,3,0,0,1
P1_1_1151_DP_JAKK,04:15:00,04:15:00,UI,4,0,0,1
P1_1_1151_DP_JAKK,04:17:00,04:17:00,UP,5,0,0,1
P1_1_1151_DP_JAKK,04:18:00,04:18:00,LNA,6,0,0,1
P1_1_1151_DP_JAKK,04:20:00,04:20:00,TNT,7,0,0,1
P1_1_1151_DP_JAKK,04:28:00,04:28:00,PSM,8,0,0,1
P1_1_1151_DP_JAKK,04:30:00,04:30:00,PSMB,9,0,0,1
P1_1_1151_DP_JAKK,04:31:00,04:31:00,DRN,10,0,0,1
P1_1_1151_DP_JAKK,04:32:00,04:32:00,CW,11,0,0,1
P1_1_1151_DP_JAKK,04:33:00,04:33:00,TEB,12,0,0,1
P1_1_1151_DP_JAKK,04:41:00,04:41:00,MRI,13,0,0,1
P1_1_1151_DP_JAKK,04:43:00,04:43:00,CKI,14,0,0,1
P1_1_1151_DP_JAKK,04:45:00,04:45:00,GDD,15,0,0,1
P1_1_1151_DP_JAKK,04:49:00,04:49:00,GMR,16,1,1,0
P1_1_1151_DP_JAKK,04:53:00,04:53:00,JUA,17,0,0,1
P1_1_1151_DP_JAKK,04:54:00,04:54:00,SW,18,0,0,1
P1_1_1151_DP_JAKK,04:55:00,04:55:00,MGB,19,0,0,1
P1_1_1151_DP_JAKK,05:00:00,05:00:00,JAY,20,0,0,1
P1_1_1151_DP_JAKK,05:03:00,05:03:00,JAKK,21,0,0,1
P1_2_1153F_DP_JAKK,04:10:00,04:10:00,DP,1,0,0,1
P1_2_1153F_DP_JAKK,04:14:00,04:14:00,DPB,2,0,0,1
P1_2_1153F_DP_JAKK,04:16:00,04:16:00,POC,3,0,0,1
P1_2_1153F_DP_JAKK,04:20:00,04:20:00,UI,4,0,0,1
P1_2_1153F_DP_JAKK,04:22:00,04:22:00,UP,5,0,0,1
P1_2_1153F_DP_JAKK,04:23:00,04:23:00,LNA,6,0,0,1
P1_2_1153F_DP_JAKK,04:25:00,04:25:00,TNT,7,0,0,1
P1_2_1153F_DP_JAKK,04:33:00,04:33:00,PSM,8,0,0,1
P1_2_1153F_DP_JAKK,04:35:00,04:35:00,PSMB,9,0,0,1
P1_2_1153F_DP_JAKK,04:36:00,04:36:00,DRN,10,0,0,1
P1_2_1153F_DP_JAKK,04:37:00,04:37:00,CW,11,0,0,1
P1_2_1153F_DP_JAKK,04:38:00,04:38:00,TEB,12,0,0,1
P1_2_1153F_DP_JAKK,04:46:00,04:46:00,MRI,13,0,0,1
P1_2_1153F_DP_JAKK,04:48:00,04:48:00,CKI,14,0,0,1
P1_2_1153F_DP_JAKK,04:50:00,04:50:00,GDD,15,0,0,1
P1_2_1153F_DP_JAKK,04:54:00,04:54:00,GMR,16,1,1,0
P1_2_1153F_DP_JAKK,04:58:00,04:58:00,JUA,17,0,0,1
P1_2_1153F_DP_JAKK,04:59:00,04:59:00,SW,18,0,0,1
P1_2_1153F_DP_JAKK,05:00:00,05:00:00,MGB,19,0,0,1
P1_2_1153F_DP_JAKK,05:05:00,05:05:00,JAY,20,0,0,1
P1_2_1153F_DP_JAKK,05:08:00,05:08:00,JAKK,21,0,0,1
P1_3_1155_DP_JAKK,04:20:00,04:20:00,DP,1,0,0,1
P1_3_1155_DP_JAKK,04:24:00,04:24:00,DPB,2,0,0,1
P1_3_1155_DP_JAKK,04:26:00,04:26:00,POC,3,0,0,1
P1_3_1155_DP_JAKK,04:30:00,04:30:00,UI,4,0,0,1
P1_3_1155_DP_JAKK,04:32:00,04:32:00,UP,5,0,0,1
P1_3_1155_DP_JAKK,04:33:00,04:33:00,LNA,6,0,0,1
P1_3_1155_DP_JAKK,04:35:00,04:35:00,TNT,7,0,0,1
P1_3_1155_DP_JAKK,04:43:00,04:43:00,PSM,8,0,0,1
P1_3_1155_DP_JAKK,04:45:00,04:45:00,PSMB,9,0,0,1
P1_3_1155_DP_JAKK,04:46:00,04:46:00,DRN,10,0,0,1
P1_3_1155_DP_JAKK,04:47:00,04:47:00,CW,11,0,0,1
P1_3_1155_DP_JAKK,04:48:00,04:48:00,TEB,12,0,0,1
P1_3_1155_DP_JAKK,04:56:00,04:56:00,MRI,13,0,0,1
P1_3_1155_DP_JAKK,04:58:00,04:58:00,CKI,14,0,0,1
P1_3_1155_DP_JAKK,05:00:00,05:00:00,GDD,15,0,0,1
P1_3_1155_DP_JAKK,05:04:00,05:04:00,GMR,16,1,1,0
P1_3_1155_DP_JAKK,05:08:00,05:08:00,JUA,17,0,0,1
